14:20,40
14:21,38
14:22,47
14:23,38
14:24,41
14:25,44
14:26,33
14:27,37
14:28,43
14:29,43
14:30,48
14:31,52
14:32,35
14:33,54
14:34,65
14:35,75
14:36,93
14:37,96
14:38,93
14:39,122
14:40,134
14:41,150
14:42,138
14:43,148
14:44,148
14:45,223
14:46,160
14:47,136
14:48,175
14:49,161
14:50,192
14:51,141
14:52,144
14:53,173
14:54,143
14:55,144
14:56,173
14:57,184
14:58,190
14:59,157
15:00,164
15:01,193
15:02,186
15:03,126
15:04,164
15:05,151
15:06,151
15:07,205
15:08,168
15:09,152
15:10,165
15:11,143
15:12,165
15:13,183
15:14,176
15:15,184
15:16,153
15:17,174
15:18,195
15:19,129
